Area,Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Philippines,2006,2181.0,115.0,47.7,57.7,23.7,203.0,22.2,0.29,2504.0,5228.3,3.25,1707.0,,0.3,3.8,,491.4,2.1,12.3,,4.8,0.7,23.0,27.7,,2.8,33.7,88.3,63.5,44.7,45.3,-1.64,21.8,,20.9,,4.2,,14.0,,60.0,6.0,64.5450995,71.92454408333333,5.1698045
Philippines,2007,2188.0,116.0,49.0,58.7,24.3,208.0,22.0,0.29,2540.0,5474.7,3.3,1712.0,,0.3,3.8,,487.6,2.3,11.7,,4.8,1.2,30.0,27.6,,2.9,33.4,88.7,64.7,44.8,46.2,-1.6,21.1,,20.8,,4.4,,13.1,,59.0,8.0,66.93824816666667,74.04032441666666,3.7032716666666663
Philippines,2008,2197.0,117.0,50.0,59.3,25.0,211.0,22.4,0.29,2567.0,5618.5,3.31,1718.0,0.7,0.3,3.7,,484.0,2.4,11.4,,4.7,4.1,41.0,27.7,6.6,2.9,33.1,89.1,66.0,45.0,47.2,-1.78,20.2,33.0,20.7,,4.6,,12.6,0.2,59.0,9.0,75.60736166666666,80.09996741666666,12.930978083333335
Philippines,2009,2205.0,117.0,50.7,60.0,25.0,209.0,22.9,0.29,2569.0,5606.6,3.37,1723.0,,0.3,3.6,,481.3,2.6,11.8,,4.6,5.8,31.0,28.3,,3.0,32.9,89.5,67.2,45.1,48.2,-1.73,19.5,,20.6,,4.8,,12.8,,59.0,10.0,80.35601383333334,83.47442724999998,6.404638333333334
Philippines,2010,2212.0,116.0,51.7,60.0,24.7,208.0,21.6,0.29,2556.0,5918.4,3.39,1728.0,,0.3,3.6,,479.7,2.8,12.6,,4.5,5.3,28.0,28.6,,3.1,32.7,89.9,68.5,45.3,49.2,-1.65,18.7,,20.6,,5.0,,13.4,,59.0,10.0,83.55584183333333,86.63311333333333,3.984467666666667
Philippines,2011,2215.0,115.0,52.0,59.7,24.3,209.0,20.0,0.29,2549.0,6043.6,3.35,1730.0,0.8,0.4,3.6,,479.4,3.0,13.1,,4.4,4.4,22.0,29.0,7.0,3.3,32.4,90.3,69.9,45.5,50.2,-1.39,17.8,,20.5,,5.2,,13.7,,59.0,10.0,88.13240225,90.72082475,5.483604499999999
Philippines,2012,2217.0,115.0,51.7,59.0,24.0,212.0,17.8,0.29,2551.0,6351.3,3.32,1731.0,,0.4,3.6,,479.5,3.2,13.3,,4.2,3.3,41.0,29.3,,3.4,32.2,90.8,71.2,45.7,51.4,-1.19,16.9,,20.4,,5.4,,13.7,,59.0,10.0,90.49192699999999,93.46691158333333,2.6761668333333333
Philippines,2013,2219.0,115.0,50.6,59.3,24.3,209.0,17.6,0.29,2547.0,6666.3,3.3,1732.0,0.9,0.4,3.6,,479.8,3.4,13.7,,4.1,4.0,42.0,29.9,7.6,3.5,31.8,91.2,72.6,45.9,52.5,-1.08,15.9,,20.3,,5.7,,13.8,,59.0,9.0,92.79193016666666,95.88087008333332,2.5409804166666667
Philippines,2014,2221.0,115.0,51.0,59.7,24.7,203.0,17.7,0.29,2550.0,6973.6,3.3,1734.0,,0.4,3.6,,480.2,3.6,13.9,,3.9,3.9,38.0,30.5,,3.6,31.3,91.6,73.9,46.1,53.6,-0.71,15.2,,20.2,,5.9,,13.8,,59.0,10.0,98.14603566666665,99.33049433333333,5.77024425
Philippines,2015,2225.0,115.0,51.0,60.7,25.3,195.0,19.7,0.29,2572.0,7300.1,3.3,1736.0,0.8,0.4,3.6,42.1,480.7,3.9,13.6,3.3,3.8,4.9,43.0,31.6,6.8,3.7,31.1,92.0,75.3,46.3,54.8,-0.86,14.5,,20.1,41.2,6.2,3.2,13.3,0.2,58.0,11.0,100.00112033333335,100.00017325,1.9137715000000002
Philippines,2016,2228.0,117.0,52.7,61.3,25.3,127.0,21.2,0.29,2619.0,7705.1,3.3,1738.0,,0.4,3.5,0.0,,4.1,12.5,0.0,3.7,6.1,34.0,32.7,,3.8,30.5,92.4,76.7,46.6,55.9,-1.38,13.9,,,0.0,6.4,0.0,12.1,0.2,58.0,12.0,101.58472908333333,101.25387416666668,1.5823200833333333
Philippines,2017,2234.0,120.0,54.0,62.0,25.7,62.0,23.2,0.29,2672.0,8120.9,3.3,1742.0,,0.4,3.4,0.0,,,11.4,0.0,3.6,8.3,34.0,33.8,,3.9,29.9,92.9,78.0,46.8,57.1,-1.18,13.3,,,0.0,,0.0,10.9,,58.0,13.0,104.68407758333332,104.14283725,3.050305416666666
Philippines,2018,2240.0,122.0,,,,,,0.29,2731.0,8516.1,3.3,1746.0,0.6,0.4,3.3,44.0,,,10.3,3.4,3.5,,33.0,,5.6,4.0,29.9,93.3,79.4,47.0,58.3,-1.08,12.8,,,41.2,,3.2,9.7,,,14.0,111.85556274999999,109.57035016666664,6.841128833333333
Philippines,2019,2247.0,123.0,,,,,,0.29,2770.0,8914.7,3.3,1751.0,,0.4,3.2,46.1,,,10.1,4.3,3.5,,44.0,,,4.1,29.4,93.7,80.8,47.2,59.5,-0.88,12.3,,,42.7,,4.0,9.4,,,,114.16310691666665,112.28800008333333,2.1069521666666664
Philippines,2020,2252.0,,,,,,,0.31,,7953.6,3.3,1754.0,,0.4,3.0,,,,,,,,,,,4.2,28.7,94.1,82.3,47.5,60.6,,,,,,,,,,,,117.28507841666668,115.247046,2.732037416666667
Singapore,2000,2445.0,,,,,,,,,56106.7,,1888.0,0.1,0.1,0.1,,4.9,0.1,,,0.1,,,,3.6,3.0,4.4,99.0,99.0,99.0,99.0,1.14,12.3,,9.8,,4.4,,,,,,72.30195075,75.25475908333333,
Singapore,2001,2449.0,,,,,5.0,,,,54029.7,,1891.0,,0.1,0.1,,4.8,0.1,0.0,,0.1,3.0,,,,3.0,4.3,99.0,99.0,99.0,99.0,,12.1,,9.8,,4.5,,0.0,,,2.0,72.67540749999999,76.00519783333334,0.516552
Singapore,2002,2452.0,,,,,5.0,,,,55634.7,,1893.0,,0.1,0.1,,4.7,0.1,0.0,,0.1,2.5,,,,3.1,4.2,99.0,99.0,99.0,99.0,1.26,11.9,,9.8,,4.6,,0.0,,,2.0,72.83746500000002,75.70750341666667,0.22318441666666666
Singapore,2003,2455.0,,,,,6.0,,,,59022.1,,1894.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.5,,,,3.1,4.1,99.0,99.0,99.0,99.0,0.88,11.8,,9.7,,4.7,,0.0,,,2.0,73.07686775,76.09202558333335,0.32868116666666664
Singapore,2004,2458.0,,,,,6.0,,,,64011.4,,1896.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.4,,,,3.2,4.0,99.0,99.0,99.0,99.0,1.09,11.7,,9.7,,4.8,,0.0,,,2.0,74.09341,77.35722841666666,1.3903365
Singapore,2005,2461.0,,,,,6.0,,,,67125.6,,1899.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.6,,,,3.2,3.9,99.0,99.0,99.0,99.0,1.16,11.7,,9.7,,4.9,,0.0,,,2.0,72.3939395,77.68273,-2.2917994999999998
Singapore,2006,2470.0,,,,,5.0,,,,70916.0,,1904.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.3,,,,3.3,3.8,99.0,99.0,99.0,99.0,1.25,11.6,,9.7,,5.0,,0.0,,,2.0,73.81223841666667,78.43073833333332,1.9596963333333335
Singapore,2007,2479.0,,,,,5.0,,,,74159.4,,1910.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.1,,,,3.4,3.7,99.0,99.0,99.0,99.0,1.17,11.5,,9.7,,5.1,,0.0,,,2.0,76.79215275000001,80.08161125,4.031099166666667
Singapore,2008,2488.0,,,,,5.0,,,,71629.8,,1915.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.2,,,,3.5,3.5,99.0,99.0,99.0,99.0,1.35,11.5,,9.7,,5.2,,0.0,,,2.0,84.25423516666666,85.38924575,9.732986666666667
Singapore,2009,2495.0,,,,,4.0,,,,69585.8,,1920.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.5,,,,3.7,3.4,99.0,99.0,99.0,99.0,1.18,11.4,,9.7,,5.3,,0.0,,,2.0,86.37982591666668,85.89878058333335,2.5671424166666665
Singapore,2010,2501.0,,,,,4.0,,,,78294.0,,1924.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.0,,,,3.8,3.3,99.0,99.0,99.0,99.0,1.17,11.4,,9.7,,5.4,,0.0,,,2.0,88.39792949999999,88.32427133333334,2.339372416666667
Singapore,2011,2503.0,,,,,5.0,,,,81538.4,,1925.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.0,,,,3.9,3.2,99.0,99.0,99.0,99.0,1.19,11.5,,9.7,,5.5,,0.0,,,2.0,91.54548841666667,92.95934658333334,3.5623071666666664
Singapore,2012,2505.0,,,,,5.0,,,,83112.0,,1926.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,0.8,,,,4.0,3.2,99.0,99.0,99.0,99.0,1.37,11.5,,9.7,,5.6,,0.0,,,2.0,93.78511291666668,97.21279691666666,2.4500005833333334
Singapore,2013,2506.0,,,,,5.0,,,,85732.8,,1926.0,,0.1,0.1,,4.8,0.3,0.0,,0.2,0.2,,,,4.1,3.1,99.0,99.0,99.0,99.0,1.38,11.6,,9.6,,5.7,,0.0,,,3.0,95.95555633333332,99.50566191666665,2.3162909166666665
Singapore,2014,2505.0,,,,,5.0,,,,87959.4,,1926.0,,0.1,0.1,,4.8,0.3,0.0,,0.2,0.7,,,,4.2,3.1,99.0,99.0,99.0,99.0,1.19,11.8,,9.6,,5.8,,0.0,,,3.0,98.79082725,100.52574241666666,2.9564644999999996
Singapore,2015,2503.0,,,,,5.0,,,,89519.7,,1924.0,,0.1,0.1,0.2,4.8,0.3,0.0,0.1,0.2,0.8,,,,4.3,3.0,99.0,99.0,99.0,99.0,1.31,11.9,,9.6,2.8,6.0,1.0,0.0,,,3.0,100.00087566666669,100.0003765,1.2287415833333333
Singapore,2016,2502.0,,,,,3.0,,,,91307.5,,1923.0,,0.1,0.1,0.2,,0.3,0.0,0.1,0.2,1.1,,,,4.4,3.0,99.0,99.0,99.0,99.0,1.5,12.1,,,3.1,6.1,1.2,0.0,,,3.0,102.30233824999999,99.46810566666664,2.30281025
Singapore,2017,2496.0,,,,,2.0,,,,95350.4,,1919.0,,0.1,0.1,0.2,,,0.0,0.1,0.2,1.5,,,,4.5,2.9,99.0,99.0,99.0,99.0,1.62,12.4,,,4.1,,1.4,0.0,,,3.0,103.62022741666668,100.04130108333334,1.2884244166666665
Singapore,2018,2490.0,,,,,,,,,98222.8,,1913.0,,0.1,0.1,0.3,,,0.0,0.1,0.2,,,,,4.6,2.9,99.0,99.0,99.0,99.0,1.49,12.7,,,4.7,,1.4,0.0,,,3.0,104.96085283333332,100.4801025,1.2940671666666665
Singapore,2019,2483.0,,,,,,,,,98411.6,,1908.0,,0.1,0.1,0.3,,,0.0,0.1,0.2,,,,,4.7,2.9,99.0,99.0,99.0,99.0,1.53,13.0,,,4.5,,0.9,0.0,,,,106.16010825,101.04807666666666,1.1428373333333333
Singapore,2020,2478.0,,,,,,,,,93397.0,,1904.0,,0.1,0.1,,,,,,,,,,,4.8,2.8,99.0,99.0,99.0,99.0,,,,,,,,,,,,109.23698200000001,100.8642535,2.9000233333333334
Thailand,2000,2416.0,,,,,,,0.28,,9809.6,2.99,1867.0,,0.3,0.8,,123.6,1.6,,,3.9,,45.0,,,6.4,16.9,93.9,92.4,,19.9,0.46,21.0,,13.5,,3.7,,,0.8,,,56.274982249999994,70.09871433333332,
Thailand,2001,2421.0,107.0,55.0,58.0,22.3,332.0,-39.9,0.28,2585.0,10053.8,2.93,1871.0,,0.3,0.8,,115.5,1.8,11.0,,3.9,11.7,41.0,36.7,,6.7,16.7,94.3,92.7,,20.1,,21.0,,12.9,,3.9,,17.3,,50.0,2.0,56.20689741666666,71.23915658333334,-0.11932941666666665
Thailand,2002,2426.0,108.0,56.0,57.7,22.3,343.0,-45.5,0.27,2605.0,10583.8,2.93,1874.0,,0.3,0.7,,108.9,1.9,10.5,,3.9,12.0,40.0,37.9,,6.9,16.6,94.7,93.0,,20.2,0.51,21.0,,12.4,,4.2,,16.4,,49.0,2.0,56.48303983333333,71.73591358333333,0.4915378333333333
Thailand,2003,2430.0,109.0,57.0,58.0,22.7,344.0,-50.9,0.27,2637.0,11260.2,2.9,1877.0,,0.3,0.7,,103.5,2.1,9.7,,4.0,11.7,38.0,39.0,,7.1,16.5,95.1,93.3,,20.3,-0.14,21.1,,11.9,,4.4,,15.0,,49.0,2.0,57.67568966666667,73.03028033333332,2.110681833333333
Thailand,2004,2434.0,110.0,57.3,58.7,23.0,342.0,-49.2,0.27,2673.0,11886.3,2.87,1879.0,,0.3,0.7,,99.1,2.2,8.9,,4.0,10.4,18.0,39.9,,7.3,16.5,95.5,93.5,,20.5,-0.72,21.1,,11.6,,4.7,,13.7,,50.0,2.0,60.04720608333334,75.04529491666668,4.109272
Thailand,2005,2438.0,112.0,57.7,59.3,23.3,338.0,-46.0,0.26,2726.0,12304.4,2.9,1882.0,,0.3,0.7,,95.7,2.4,7.8,,4.0,8.0,18.0,40.7,,7.5,16.4,95.9,93.8,,20.8,-0.87,21.3,5.4,11.4,,5.0,,11.9,,51.0,2.0,62.910637,78.45262833333335,4.766872666666667
Thailand,2006,2441.0,113.0,59.3,59.7,23.7,349.0,-41.7,0.26,2762.0,12837.9,2.83,1884.0,0.2,0.3,0.7,,93.0,2.7,7.0,,4.1,14.5,25.0,41.5,4.7,7.7,16.2,96.3,94.1,,21.2,-1.13,21.4,,11.2,,5.4,,10.6,,50.0,2.0,65.90368824999999,82.09084875,4.759274499999999
Thailand,2007,2443.0,113.0,59.7,58.7,23.3,361.0,-47.6,0.26,2767.0,13460.1,2.89,1885.0,,0.3,0.7,,90.8,2.8,6.7,,4.1,15.1,42.0,41.9,,7.9,16.0,96.7,94.4,,21.5,-1.11,21.6,,11.0,,5.7,,10.2,0.9,50.0,2.0,68.72234108333333,83.93094875000001,4.278901
Thailand,2008,2445.0,112.0,59.3,58.0,22.7,373.0,-50.1,0.25,2737.0,13620.5,2.72,1887.0,,0.3,0.6,,89.0,3.1,7.1,,4.1,16.0,41.0,41.7,,8.1,15.7,97.0,94.8,,21.9,-1.27,21.6,,10.9,,6.1,,10.6,,49.0,2.0,74.35092716666666,88.52070408333333,8.165791833333332
Thailand,2009,2446.0,112.0,58.3,58.0,22.3,374.0,-45.7,0.25,2734.0,13458.5,2.69,1888.0,,0.3,0.6,,87.5,3.3,6.9,,4.1,12.2,40.0,41.2,,8.3,15.3,97.4,95.1,,22.2,-1.42,21.7,15.1,10.9,,6.5,,10.4,,50.0,2.0,79.29053641666667,87.74855133333334,6.720350666666665
Thailand,2010,2447.0,112.0,58.7,58.7,23.0,386.0,-43.1,0.25,2736.0,14399.0,2.72,1888.0,,0.3,0.6,,86.0,3.6,6.7,,4.1,12.9,50.0,40.8,,8.4,14.9,97.7,95.4,,22.6,-1.44,21.8,,10.8,,7.0,,10.0,0.9,49.0,3.0,82.84047183333334,90.62646558333334,4.471065583333332
Thailand,2011,2446.0,112.0,59.0,59.3,23.7,403.0,-33.3,0.25,2755.0,14450.5,2.73,1888.0,,0.3,0.6,,84.5,3.8,6.2,,4.1,9.5,52.0,40.0,,8.6,14.4,98.0,95.7,,22.9,-1.13,22.0,,10.8,,7.4,,9.2,0.9,49.0,3.0,87.74755316666666,94.07823791666665,5.903815416666666
Thailand,2012,2446.0,113.0,58.7,59.7,24.0,418.0,-29.4,0.24,2755.0,15424.5,2.77,1887.0,0.3,0.3,0.6,,82.8,4.1,6.0,,4.1,9.0,31.0,39.2,6.7,8.7,13.9,98.4,96.1,,23.2,-1.22,22.1,12.3,10.8,,7.9,,8.8,,49.0,3.0,92.00170524999999,96.91460216666667,4.894220916666668
Thailand,2013,2446.0,113.0,58.3,60.3,24.3,419.0,-43.7,0.24,2765.0,15767.4,2.73,1887.0,,0.3,0.5,,80.9,4.4,5.6,,4.1,19.0,17.0,38.4,,8.8,13.5,98.7,96.4,,23.6,-1.31,22.3,,10.7,,8.4,,8.2,,49.0,3.0,95.13638208333334,99.03207608333337,3.4144318333333334
Thailand,2014,2446.0,114.0,59.3,60.7,24.3,404.0,-57.7,0.23,2772.0,15854.1,2.73,1887.0,,0.3,0.5,,78.8,4.7,5.3,,4.1,18.9,13.0,38.2,,8.9,13.1,99.0,96.8,,23.9,-0.91,22.5,,10.6,,8.9,,7.7,,49.0,3.0,98.87942166666666,100.90887408333333,3.9370196666666675
Thailand,2015,2446.0,114.0,61.7,61.3,25.0,386.0,-67.8,0.23,2780.0,16285.4,2.73,1887.0,,0.3,0.5,10.4,76.3,5.0,5.0,2.9,4.1,16.9,11.0,38.2,,9.0,12.9,99.0,97.1,,24.3,-0.99,22.7,23.0,10.5,15.1,9.4,4.2,7.3,0.7,49.0,3.0,100.00182158333332,100.0002655,1.13904825
Thailand,2016,2446.0,113.0,64.7,61.7,25.7,249.0,-70.6,0.23,2775.0,16782.1,2.73,1887.0,0.2,0.3,0.5,13.6,,5.4,5.1,4.0,4.1,19.9,14.0,38.2,5.4,9.1,12.8,99.0,97.5,,24.6,-0.99,23.0,,,19.7,10.0,5.8,7.5,0.7,48.0,4.0,101.61047316666667,100.18841583333334,1.60806575
Thailand,2017,2445.0,113.0,65.7,62.3,26.7,122.0,-74.1,0.24,2775.0,17423.0,2.73,1885.0,,0.3,0.5,17.2,,,5.4,5.0,4.1,28.6,13.0,38.2,,9.1,12.7,99.0,97.8,,24.9,-0.75,23.3,,,24.8,,7.2,7.7,0.8,48.0,3.0,101.61033474999999,100.85530175000001,0.006506333333333339
Thailand,2018,2444.0,114.0,,,,,,0.24,2786.0,18095.7,2.73,1884.0,,0.3,0.5,18.3,,,5.5,5.4,4.2,,13.0,,,9.2,12.6,99.0,98.1,,25.3,-0.79,23.7,,,26.4,,7.7,7.9,,,3.0,102.02175866666666,101.92829883333333,0.40492791666666667
Thailand,2019,2444.0,115.0,,,,,,0.24,2806.0,18453.5,2.73,1884.0,0.3,0.3,0.5,20.8,,,5.7,5.9,4.2,,13.0,,7.7,9.2,12.4,99.0,98.4,,25.6,-0.54,24.0,,,29.8,,8.5,8.2,,,,104.38374558333338,102.64865524999999,2.315715583333333
Thailand,2020,2443.0,,,,,,,0.26,,17286.9,2.73,1883.0,,0.3,0.4,,,,,,,,,,,9.2,12.3,99.0,98.7,,25.9,,,,,,,,,,,,105.66461458333333,101.78031225,1.2302154166666666
Viet Nam,2000,2237.0,,,,,,,0.26,,2955.0,2.94,1742.0,0.4,0.2,3.0,,130.1,0.3,,,5.9,,51.0,,6.1,2.4,41.8,80.5,51.9,,,0.41,27.3,22.0,9.2,,0.6,,,1.0,,,26.36446166666667,33.300455916666664,
Viet Nam,2001,2253.0,103.0,41.0,56.0,15.3,209.0,-12.0,0.26,2328.0,3105.6,2.99,1752.0,,0.2,2.7,,126.4,0.4,15.9,,5.8,2.9,53.0,58.4,,2.5,39.8,81.4,53.9,,,,25.9,,9.1,,0.7,,19.7,0.7,69.0,5.0,25.69532375,33.15674958333333,-2.530146583333333
Viet Nam,2002,2264.0,106.0,43.7,58.3,16.3,219.0,-11.7,0.27,2388.0,3269.9,3.02,1759.0,0.6,0.2,2.5,,124.2,0.4,14.7,,5.6,2.7,58.0,59.0,8.9,2.5,38.0,82.2,55.8,,,0.35,24.5,15.5,8.9,,0.7,,18.0,0.8,69.0,4.0,26.508756916666666,34.393126333333335,3.169549083333333
Viet Nam,2003,2272.0,108.0,46.3,60.7,18.0,230.0,-10.9,0.27,2449.0,3462.9,3.11,1764.0,0.7,0.2,2.4,,123.1,0.4,13.4,,5.4,3.6,24.0,61.3,10.9,2.6,36.1,83.1,57.8,,,0.13,23.2,,8.8,,0.8,,16.3,0.8,68.0,4.0,27.178685416666664,35.50562283333333,2.5348580833333334
Viet Nam,2004,2280.0,109.0,49.4,63.0,19.7,238.0,-13.1,0.27,2485.0,3689.7,3.15,1769.0,0.7,0.2,2.3,,123.0,0.5,13.0,,5.2,4.0,15.0,65.9,11.3,2.8,34.4,83.9,59.7,,,0.15,22.0,,8.7,,0.9,,15.7,0.8,66.0,4.0,30.577242916666666,38.259065666666665,12.53350725
Viet Nam,2005,2289.0,110.0,53.4,64.0,21.0,245.0,-13.1,0.28,2509.0,3931.8,3.27,1775.0,0.7,0.2,2.2,,123.5,0.5,13.0,,5.0,4.3,19.0,69.8,10.7,2.9,32.9,84.8,61.6,,,0.48,20.9,,8.6,,0.9,,15.5,1.0,64.0,4.0,33.993396,41.4286655,11.240448666666666
Viet Nam,2006,2293.0,110.0,57.4,65.7,22.3,252.0,-12.5,0.28,2533.0,4167.1,3.25,1778.0,0.7,0.2,2.2,,124.6,0.6,12.9,,4.8,2.9,22.0,72.5,9.9,3.0,31.6,85.6,63.6,,,0.4,19.9,16.1,8.6,,1.0,,15.3,1.0,63.0,5.0,36.93270166666666,44.50185099999999,8.663434166666667
Viet Nam,2007,2299.0,112.0,61.0,67.7,24.0,260.0,-11.2,0.28,2582.0,4422.3,3.34,1782.0,0.7,0.2,2.1,,126.2,0.6,12.1,,4.6,1.1,38.0,72.9,10.1,3.2,30.4,86.4,65.6,,,0.25,18.9,,8.5,,1.1,,14.1,1.0,62.0,5.0,41.08506008333333,48.21528508333333,11.200887833333333
Viet Nam,2008,2304.0,114.0,64.4,70.7,26.3,267.0,-10.9,0.28,2634.0,4628.0,3.34,1786.0,0.7,0.2,2.1,,128.0,0.7,11.1,,4.5,1.4,40.0,73.0,9.7,3.4,29.4,87.3,67.5,,,0.16,18.1,,8.5,,1.2,,12.9,1.0,61.0,6.0,56.2464355,59.3604645,36.79060925000001
Viet Nam,2009,2307.0,116.0,67.0,73.3,28.0,273.0,-10.7,0.29,2678.0,4830.3,3.45,1788.0,0.5,0.3,2.0,,129.7,0.8,10.3,,4.4,1.9,35.0,72.6,7.1,3.5,28.5,88.1,69.4,,,0.27,17.5,,8.5,,1.3,,11.8,1.0,60.0,7.0,60.946299833333335,63.347696833333345,9.030704083333333
Viet Nam,2010,2309.0,118.0,69.7,75.7,29.7,278.0,-11.0,0.28,2710.0,5089.4,3.44,1790.0,0.3,0.3,2.0,,131.0,0.9,9.7,,4.3,1.9,15.0,72.0,4.1,3.7,27.6,88.9,71.3,,,0.15,17.2,17.0,8.5,,1.4,,11.0,0.8,60.0,8.0,67.50421216666668,69.18041458333333,10.73475475
Viet Nam,2011,2309.0,120.0,70.3,78.0,30.3,288.0,-12.2,0.28,2755.0,5352.0,3.45,1790.0,0.5,0.3,2.0,,131.7,0.9,8.9,,4.3,2.7,14.0,71.6,6.6,4.0,26.8,89.7,73.3,,,0.19,17.0,,8.4,,1.5,,10.0,0.7,59.0,8.0,85.52037066666666,82.10174733333334,26.6423995
Viet Nam,2012,2308.0,121.0,71.3,79.7,31.0,296.0,-12.6,0.28,2789.0,5574.5,3.58,1790.0,0.5,0.3,1.9,,131.8,1.0,8.4,,4.3,2.8,10.0,71.6,6.7,4.2,25.9,90.4,75.2,,,0.27,17.0,,8.4,,1.6,,9.3,0.7,58.0,8.0,92.27338441666666,89.56865775,8.389524833333335
Viet Nam,2013,2307.0,122.0,72.7,83.4,32.0,302.0,-10.3,0.28,2819.0,5815.2,3.58,1789.0,0.5,0.3,1.9,,131.5,1.1,7.9,,4.4,5.3,12.0,71.7,6.6,4.4,25.7,91.2,77.0,,,0.25,17.2,24.0,8.3,,1.7,,8.7,0.7,57.0,7.0,94.75282708333333,95.47362791666666,2.6918884999999997
Viet Nam,2014,2305.0,123.0,75.4,87.7,34.4,304.0,-5.8,0.28,2828.0,6098.5,3.58,1789.0,0.5,0.4,1.9,,130.9,1.2,7.8,,4.5,5.3,9.0,69.6,6.8,4.6,25.0,92.4,78.9,,,-0.02,17.5,,8.3,,1.8,,8.5,1.0,56.0,6.0,98.542951,99.37330016666665,4.007883333333335
Viet Nam,2015,2303.0,124.0,78.0,92.0,36.3,303.0,0.9,0.28,2847.0,6438.3,3.58,1788.0,0.5,0.4,1.9,0.0,129.9,1.3,7.5,0.0,4.6,5.2,10.0,67.6,6.4,4.9,24.4,93.3,80.8,,,0.07,18.0,,8.2,0.0,2.0,0.0,8.1,1.0,55.0,6.0,100.00024691666668,100.00054558333333,1.4826798333333333
Viet Nam,2016,2302.0,125.0,80.4,94.3,37.3,201.0,4.9,0.28,2864.0,6767.8,3.58,1787.0,,0.4,1.8,0.0,,1.4,7.3,0.0,4.7,4.1,18.0,65.7,,5.1,23.9,94.1,82.6,,,0.23,18.5,,,0.0,2.1,0.0,7.8,0.8,54.0,6.0,102.36362391666667,102.66880816666668,2.3631803333333337
Viet Nam,2017,2299.0,126.0,83.4,96.0,37.7,99.0,8.3,0.28,2892.0,7155.4,3.58,1785.0,0.4,0.4,1.8,5.9,,,6.8,0.4,4.9,6.7,18.0,65.8,5.8,5.3,23.6,94.8,84.3,,,0.29,19.1,,,6.2,,0.5,7.2,0.7,53.0,6.0,101.25854866666667,106.283014,-1.0726094166666664
Viet Nam,2018,2297.0,127.0,,,,,,0.28,2915.0,7585.9,3.58,1784.0,,0.4,1.8,6.0,,,6.5,0.4,5.1,,14.0,,,5.6,23.0,95.5,86.0,,,0.11,19.8,,,6.2,,0.5,6.8,0.7,,5.0,104.53662833333333,110.04503725000002,3.2546765
Viet Nam,2019,2295.0,127.0,,,,,,0.28,2921.0,8041.2,3.58,1783.0,,0.5,1.8,6.2,,,6.5,0.5,5.3,,22.0,,,5.8,22.7,96.2,87.7,,,0.13,20.6,,,6.5,,0.5,6.7,,,,108.79717516666669,113.12170258333333,4.078946833333333
Viet Nam,2020,2294.0,,,,,,,0.29,,8200.3,3.58,1782.0,,0.5,1.8,,,,,,,,,,,6.0,22.3,96.9,89.2,,,,,,,,,,,,,,119.62833183333333,116.76527841666666,10.02097525
